"","region","country","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law","Conflicts","Fatalities","year"
"179",5,57,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782,115,256,2021
"180",5,94,-0.8523029,-0.4108523,-1.174071,-0.2227789,-0.4111333,463,341,2018
"181",5,94,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177,352,269,2019
"182",5,94,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177,434,297,2020
"183",5,94,-0.7772462,-0.3832689,-1.123664,-0.2770375,-0.4543177,27,29,2021
"184",5,107,-1.000645,-1.153121,-0.5702538,-0.7335708,-0.8138813,91,110,2018
"185",5,107,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813,327,350,2019
"186",5,107,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813,313,354,2020
"187",5,107,-1.00937,-1.142454,-0.2525476,-0.7300456,-1.008813,25,14,2021
"188",5,108,-0.7446045,-0.7286705,-0.4234232,-0.6767547,-0.3803955,43,13,2018
"189",5,108,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234,119,27,2019
"190",5,108,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234,237,57,2020
"191",5,108,-0.7811527,-0.7494367,-0.2672529,-0.7011955,-0.3311234,36,9,2021
"192",5,121,-0.7809925,-0.8742813,-0.8135263,-0.7521439,-1.0435,134,213,2018
"193",5,121,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184,352,663,2019
"194",5,121,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184,658,1782,2020
"195",5,121,-0.8010145,-0.8232896,-0.7454386,-0.7247643,-1.020184,49,70,2021
"196",5,146,0.5783511,0.2068089,0.1185909,0.0864492,0.1178017,21,36,2018
"197",5,146,0.564346,0.1850227,0.1156722,0.0773843,0.0761882,18,44,2019
"198",5,146,0.564346,0.1850227,0.1156722,0.0773843,0.0761882,19,18,2020
"199",5,146,0.564346,0.1850227,0.1156722,0.0773843,0.0761882,2,0,2021
"200",5,159,-1.800312,-2.19103,-2.248764,-2.251584,-2.332044,2383,4495,2018
"201",5,159,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358,2519,4031,2019
"202",5,159,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358,2637,3140,2020
"203",5,159,-1.709963,-2.237149,-2.383227,-2.203132,-2.350358,401,452,2021
"204",5,162,-1.728171,-2.449409,-2.431055,-2.045286,-1.957827,777,1432,2018
"205",5,162,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724,565,1806,2019
"206",5,162,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724,863,2371,2020
"207",5,162,-1.773724,-2.451555,-2.558902,-2.048965,-1.969724,114,223,2021
"208",5,172,-0.4464366,-0.7562658,-0.5617821,-0.622853,-0.555015,40,37,2018
"209",5,172,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313,43,35,2019
"210",5,172,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313,51,43,2020
"211",5,172,-0.3908709,-0.8790504,-0.3620471,-0.6409062,-0.5779313,2,0,2021
"212",5,180,-1.038054,-0.6060399,-0.6932233,-0.2512031,-0.2948378,347,131,2018
"213",5,180,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112,361,159,2019
"214",5,180,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112,664,290,2020
"215",5,180,-1.165626,-0.5852001,-0.6457884,-0.3742244,-0.3146112,135,71,2021
"216",6,2,-0.5219214,0.114788,0.3783375,0.2684412,-0.3923339,222,1,2018
"217",6,2,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794,354,0,2019
"218",6,2,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794,226,0,2020
"219",6,2,-0.5287576,-0.0613309,0.1185695,0.2743798,-0.4111794,12,0,2021
"220",6,4,1.234392,1.908749,1.615139,1.228176,1.579939,7,0,2020
"221",6,4,1.234392,1.908749,1.615139,1.228176,1.579939,2,0,2021
"222",6,11,1.545429,1.490911,0.9801227,1.459116,1.883051,377,6,2020
"223",6,11,1.545429,1.490911,0.9801227,1.459116,1.883051,137,0,2021
"224",6,15,,,,,,6,0,2020
"225",6,16,,,,,,5,0,2020
"226",6,19,-0.1922859,-0.3010303,0.3559107,-0.6518698,-0.8328676,107,0,2018
"227",6,19,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578,186,0,2019
"228",6,19,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578,1811,5,2020
"229",6,19,-0.059539,-0.1833328,0.2891302,-0.5437806,-0.7944578,540,0,2021
"230",6,20,1.551961,1.032227,0.4811862,1.290999,1.363715,820,0,2020
"231",6,20,1.551961,1.032227,0.4811862,1.290999,1.363715,104,0,2021
"232",6,24,-0.5718637,-0.6185398,-0.3866947,-0.2110692,-0.2333702,254,1,2018
"233",6,24,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416,186,1,2019
"234",6,24,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416,145,0,2020
"235",6,24,-0.6131452,-0.634277,-0.4004397,-0.1940023,-0.2335416,23,0,2021
"236",6,27,-0.1515384,0.2718757,0.4639785,0.5897425,-0.0298135,322,0,2018
"237",6,27,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966,398,0,2019
"238",6,27,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966,911,0,2020
"239",6,27,-0.1551902,0.3390003,0.5401217,0.5316786,0.0358966,60,0,2021
"240",6,40,0.1316723,0.4569183,0.8100172,0.5383773,0.3243876,165,0,2018
"241",6,40,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346,232,2,2019
"242",6,40,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346,142,0,2020
"243",6,40,0.1255409,0.4099745,0.7554738,0.5910058,0.3661346,9,0,2021
"244",6,43,0.6400679,0.9209022,0.4993934,0.873209,0.7528808,97,1,2018
"245",6,43,0.6048772,0.9924904,0.5165108,1.012343,0.7598994,216,1,2019
"246",6,43,0.6048772,0.9924904,0.5165108,1.012343,0.7598994,271,0,2020
"247",6,43,0.6048772,0.9924904,0.5165108,1.012343,0.7598994,30,0,2021
"248",6,44,0.5062277,0.8856382,0.952085,1.245128,1.046504,227,0,2020
"249",6,44,0.5062277,0.8856382,0.952085,1.245128,1.046504,32,0,2021
"250",6,46,2.107368,1.937899,1.008821,1.565012,1.898457,597,1,2020
"251",6,46,2.107368,1.937899,1.008821,1.565012,1.898457,58,0,2021
"252",6,55,1.542329,1.174747,0.6388937,1.591124,1.281257,141,0,2020
"253",6,55,1.542329,1.174747,0.6388937,1.591124,1.281257,24,0,2021
"254",6,59,,,,,,2,0,2020
"255",6,60,2.153081,1.929313,0.9090824,1.851015,2.022146,248,2,2020
"256",6,60,2.153081,1.929313,0.9090824,1.851015,2.022146,20,0,2021
"257",6,61,1.300968,1.384611,0.313681,1.440292,1.412058,5456,6,2020
"258",6,61,1.300968,1.384611,0.313681,1.440292,1.412058,1011,0,2021
"259",6,66,1.895473,1.585309,0.5828653,1.72305,1.618773,4792,13,2020
