"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"113",2019,"Central America","Belize",55,80,55,80,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125
"114",2020,"Central America","Belize",34,79,34,79,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125
"115",2021,"Central America","Belize",4,10,4,10,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125
"116",2018,"Central America","Costa Rica",1,149,1,149,0.5514317,0.3781868,0.4771462,0.4888904,0.4804583
"117",2019,"Central America","Costa Rica",10,279,10,279,0.722371,0.4231587,0.4602174,0.4980351,0.5440922
"118",2020,"Central America","Costa Rica",9,539,9,539,0.722371,0.4231587,0.4602174,0.4980351,0.5440922
"119",2021,"Central America","Costa Rica",1,14,1,14,0.722371,0.4231587,0.4602174,0.4980351,0.5440922
"120",2018,"Central America","El Salvador",755,788,755,788,-0.6006837,-0.4471425,-0.3787947,0.035562,-0.8280311
"121",2019,"Central America","El Salvador",821,878,821,878,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596
"122",2020,"Central America","El Salvador",288,500,288,500,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596
"123",2021,"Central America","El Salvador",79,115,79,115,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596
"124",2018,"Central America","Guatemala",623,824,623,824,-0.8205505,-0.6820061,-0.5292468,-0.1901745,-1.037602
"125",2019,"Central America","Guatemala",1097,1496,1000,1496,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289
"126",2020,"Central America","Guatemala",556,893,556,893,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289
"127",2021,"Central America","Guatemala",12,65,12,65,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289
"128",2018,"Central America","Honduras",566,736,566,736,-0.6184291,-0.6206585,-0.5217014,-0.4447892,-1.030544
"129",2019,"Central America","Honduras",928,1340,928,1340,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908
"130",2020,"Central America","Honduras",656,954,656,954,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908
"131",2021,"Central America","Honduras",91,161,91,161,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908
"132",2018,"Central America","Nicaragua",318,296,318,296,-1.092894,-0.8024699,-0.9427003,-0.7052147,-1.059304
"133",2019,"Central America","Nicaragua",25,243,25,243,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569
"134",2020,"Central America","Nicaragua",20,95,20,95,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569
"135",2021,"Central America","Nicaragua",1,8,1,8,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569
"136",2018,"Central America","Panama",2,503,2,503,-0.5544491,-0.019452,0.2688772,0.3613167,-0.0924071
"137",2019,"Central America","Panama",2,383,2,383,-0.579924,0.0655402,0.3068049,0.361897,-0.119035
"138",2020,"Central America","Panama",3,376,3,376,-0.579924,0.0655402,0.3068049,0.361897,-0.119035
"139",2021,"Central America","Panama",2,70,2,70,-0.579924,0.0655402,0.3068049,0.361897,-0.119035
"140",2018,"East Asia","China",36,2879,36,2500,-0.2712651,0.4771284,-0.2912534,-0.1852444,-0.2017475
"141",2019,"East Asia","China",12,3615,12,2500,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186
"142",2020,"East Asia","China",9,2357,9,2357,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186
"143",2021,"East Asia","China",0,155,0,155,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186
"144",2018,"East Asia","Japan",0,1454,0,1454,1.424979,1.675817,1.055935,1.3436,1.53319
"145",2019,"East Asia","Japan",0,1300,0,1300,1.475332,1.586664,1.041225,1.326957,1.537965
"146",2020,"East Asia","Japan",0,1527,0,1527,1.475332,1.586664,1.041225,1.326957,1.537965
"147",2021,"East Asia","Japan",0,168,0,168,1.475332,1.586664,1.041225,1.326957,1.537965
"148",2018,"East Asia","Mongolia",1,60,1,60,-0.4278318,-0.2333477,0.8408516,0.0273581,-0.2666385
"149",2019,"East Asia","Mongolia",0,94,0,94,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293
"150",2020,"East Asia","Mongolia",0,76,0,76,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293
"151",2021,"East Asia","Mongolia",0,14,0,14,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293
